Timestamp,Milliseconds,X,Y,Z
2018-10-26 19:15:02,16301,-10.900001,-20.800001,-13.5
2018-10-26 19:15:02,16401,-12.400001,-20.2,-12.900001
2018-10-26 19:15:02,16501,-12.8,-20.0,-11.7
2018-10-26 19:15:02,16601,-12.5,-19.5,-10.7
2018-10-26 19:15:02,16701,-13.1,-19.800001,-10.7
2018-10-26 19:15:02,16802,-12.7,-19.6,-11.7
2018-10-26 19:15:02,16901,-12.5,-18.800001,-13.3
2018-10-26 19:15:02,17001,-13.400001,-19.5,-12.0
2018-10-26 19:15:02,17101,-11.2,-19.800001,-10.7
2018-10-26 19:15:03,17201,-11.8,-21.0,-9.3
2018-10-26 19:15:03,17301,-10.900001,-20.800001,-8.3
2018-10-26 19:15:03,17401,-10.5,-21.6,-7.4
2018-10-26 19:15:03,17502,-10.2,-22.1,-8.3
2018-10-26 19:15:03,17601,-11.1,-21.800001,-8.400001
2018-10-26 19:15:03,17701,-9.400001,-21.2,-8.7
2018-10-26 19:15:03,17803,-8.1,-22.5,-8.7
2018-10-26 19:15:03,17901,-10.0,-21.4,-9.7
2018-10-26 19:15:03,18001,-9.1,-21.5,-10.0
2018-10-26 19:15:03,18102,-6.6,-21.5,-8.8
2018-10-26 19:15:04,18201,-9.3,-21.7,-8.400001
2018-10-26 19:15:04,18301,-10.3,-21.9,-9.3
2018-10-26 19:15:04,18401,-9.7,-21.4,-11.400001
2018-10-26 19:15:04,18501,-6.4,-21.4,-10.400001
2018-10-26 19:15:04,18601,-4.3,-20.0,-10.6
2018-10-26 19:15:04,18701,-1.8000001,-20.1,-9.7
2018-10-26 19:15:04,18801,0.0,-18.7,-12.1
2018-10-26 19:15:04,18903,1.5,-18.300001,-12.8
2018-10-26 19:15:04,19001,2.3,-17.4,-15.7
2018-10-26 19:15:04,19102,-0.3,-14.900001,-8.900001
2018-10-26 19:15:05,19201,-11.3,-6.2000003,-8.5
2018-10-26 19:15:05,19301,-9.2,-6.4,-9.400001
2018-10-26 19:15:05,19401,-28.300001,3.5,-8.1
2018-10-26 19:15:05,19501,-28.1,4.4,-10.6
2018-10-26 19:15:05,19601,-27.800001,4.1,-8.1
2018-10-26 19:15:05,19701,-25.800001,3.7,-7.3
2018-10-26 19:15:05,19802,-27.2,4.6,-8.400001
2018-10-26 19:15:05,19901,-26.5,3.7,-7.8
2018-10-26 19:15:05,20001,-26.9,4.6,-9.400001
2018-10-26 19:15:05,20101,-26.800001,3.9,-9.5
2018-10-26 19:15:06,20201,-27.800001,4.1,-8.6
2018-10-26 19:15:06,20302,-26.800001,4.1,-9.3
2018-10-26 19:15:06,20401,-26.6,4.0,-10.3
2018-10-26 19:15:06,20501,-26.9,4.8,-11.2
2018-10-26 19:15:06,20601,-25.5,4.1,-9.7
2018-10-26 19:15:06,20701,-27.300001,4.6,-9.400001
2018-10-26 19:15:06,20801,-28.0,4.7000003,-9.7
2018-10-26 19:15:06,20902,-26.7,4.2000003,-8.7
2018-10-26 19:15:06,21001,-27.0,4.1,-9.0
2018-10-26 19:15:06,21101,-27.0,4.2000003,-9.400001
2018-10-26 19:15:07,21202,-26.6,3.9,-9.3
2018-10-26 19:15:07,21301,-26.0,3.9,-9.3
2018-10-26 19:15:07,21401,-26.6,3.7,-8.400001
2018-10-26 19:15:07,21501,-26.0,4.6,-9.400001
2018-10-26 19:15:07,21601,-25.7,4.1,-9.7
2018-10-26 19:15:07,21702,-26.300001,4.3,-8.7
2018-10-26 19:15:07,21802,-26.300001,4.6,-9.400001
2018-10-26 19:15:07,21901,-25.800001,4.0,-11.2
2018-10-26 19:15:07,22001,-26.0,3.6000001,-9.3
2018-10-26 19:15:07,22101,-26.300001,4.3,-8.7
2018-10-26 19:15:08,22202,-25.4,4.0,-9.400001
2018-10-26 19:15:08,22301,-25.2,4.0,-10.0
2018-10-26 19:15:08,22402,-23.9,3.7,-10.0
2018-10-26 19:15:08,22501,-24.800001,4.1,-8.400001
2018-10-26 19:15:08,22601,-25.5,4.0,-10.0
2018-10-26 19:15:08,22701,-24.5,4.3,-9.400001
2018-10-26 19:15:08,22803,-25.1,4.1,-9.1
2018-10-26 19:15:08,22901,-25.4,5.3,-9.400001
2018-10-26 19:15:08,23001,-25.1,4.8,-9.7
2018-10-26 19:15:08,23102,-24.5,4.8,-9.7
2018-10-26 19:15:09,23201,-25.800001,5.0,-10.0
2018-10-26 19:15:09,23303,-25.7,4.6,-9.400001
2018-10-26 19:15:09,23402,-26.1,5.4,-10.3
2018-10-26 19:15:09,23503,-25.4,5.0,-9.400001
2018-10-26 19:15:09,23601,-25.800001,4.6,-10.0
2018-10-26 19:15:09,23702,-25.4,4.8,-8.5
2018-10-26 19:15:09,23801,-26.7,5.1,-10.3
2018-10-26 19:15:09,23902,-25.7,4.1,-8.400001
2018-10-26 19:15:09,24001,-25.7,4.3,-8.7
2018-10-26 19:15:09,24101,-26.0,4.4,-9.7
2018-10-26 19:15:10,24205,-27.2,4.2000003,-8.7
2018-10-26 19:15:10,24302,-26.1,4.1,-10.3
2018-10-26 19:15:10,24401,-25.2,4.2000003,-10.3
2018-10-26 19:15:10,24501,-24.800001,3.3,-9.3
2018-10-26 19:15:10,24602,-25.5,3.6000001,-10.0
2018-10-26 19:15:10,24701,-25.1,4.3,-9.400001
2018-10-26 19:15:10,24801,-26.4,4.4,-9.7
2018-10-26 19:15:10,24902,-24.6,4.0,-10.6
2018-10-26 19:15:10,25002,-26.1,4.6,-10.0
2018-10-26 19:15:10,25101,-27.300001,4.6,-10.6
2018-10-26 19:15:11,25201,-26.9,4.2000003,-9.400001
2018-10-26 19:15:11,25301,-27.300001,4.7000003,-9.7
2018-10-26 19:15:11,25402,-26.1,3.8,-10.3
2018-10-26 19:15:11,25501,-25.4,3.8,-9.0
2018-10-26 19:15:11,25601,-26.6,3.6000001,-9.3
2018-10-26 19:15:11,25701,-26.9,4.1,-7.8
2018-10-26 19:15:11,25801,-27.800001,3.7,-9.0
2018-10-26 19:15:11,25902,-26.0,4.1,-6.6
2018-10-26 19:15:11,26001,-27.2,3.6000001,-9.3
2018-10-26 19:15:11,26101,-26.1,3.3,-10.6
2018-10-26 19:15:12,26201,-26.7,3.4,-10.900001
2018-10-26 19:15:12,26301,-24.300001,2.2,-10.900001
2018-10-26 19:15:12,26402,-25.2,3.2,-10.900001
2018-10-26 19:15:12,26506,-25.800001,3.6000001,-11.8
2018-10-26 19:15:12,26601,-26.1,4.0,-12.3
2018-10-26 19:15:12,26702,-24.6,3.8,-10.3
2018-10-26 19:15:12,26802,-25.5,3.8,-10.3
2018-10-26 19:15:12,26902,-25.5,4.6,-10.0
2018-10-26 19:15:12,27001,-25.2,4.5,-10.3
2018-10-26 19:15:12,27101,-25.1,3.4,-7.8
2018-10-26 19:15:13,27202,-26.9,4.6,-8.1
2018-10-26 19:15:13,27301,-26.9,4.2000003,-9.400001
2018-10-26 19:15:13,27401,-26.6,4.1,-7.2000003
2018-10-26 19:15:13,27501,-26.4,4.8,-10.3
2018-10-26 19:15:13,27602,-26.0,4.4,-9.1
2018-10-26 19:15:13,27701,-26.300001,5.4,-8.5
2018-10-26 19:15:13,27801,-26.300001,4.7000003,-8.400001
2018-10-26 19:15:13,27903,-26.0,4.7000003,-7.2000003
2018-10-26 19:15:13,28001,-26.0,6.1,-7.3
2018-10-26 19:15:13,28103,-25.1,4.7000003,-7.8
2018-10-26 19:15:14,28201,-24.5,5.2000003,-7.0
2018-10-26 19:15:14,28301,-25.1,4.5,-6.4
2018-10-26 19:15:14,28402,-25.1,5.5,-7.7000003
2018-10-26 19:15:14,28502,-26.0,5.2000003,-8.3
2018-10-26 19:15:14,28602,-25.7,5.5,-7.6
2018-10-26 19:15:14,28702,-26.300001,6.1,-8.3
2018-10-26 19:15:14,28801,-25.4,6.2000003,-8.900001
2018-10-26 19:15:14,28901,-26.1,6.3,-9.8
2018-10-26 19:15:14,29001,-25.7,5.0,-7.3
2018-10-26 19:15:14,29101,-25.7,5.0,-9.2
2018-10-26 19:15:15,29201,-25.7,5.3,-8.6
2018-10-26 19:15:15,29302,-25.1,5.7000003,-9.2
2018-10-26 19:15:15,29401,-26.0,5.5,-8.3
2018-10-26 19:15:15,29501,-26.300001,5.2000003,-9.5
2018-10-26 19:15:15,29601,-24.5,5.2000003,-7.6
2018-10-26 19:15:15,29702,-25.4,5.0,-7.9
2018-10-26 19:15:15,29801,-25.1,5.0,-7.9
2018-10-26 19:15:15,29901,-24.5,5.2000003,-7.6
2018-10-26 19:15:15,30001,-25.1,5.2000003,-8.3
2018-10-26 19:15:15,30101,-24.800001,5.0,-7.9
2018-10-26 19:15:16,30201,-23.9,4.9,-7.6
2018-10-26 19:15:16,30302,-25.1,5.4,-8.6
2018-10-26 19:15:16,30401,-24.800001,4.9,-7.6
2018-10-26 19:15:16,30501,-25.1,4.7000003,-7.9
2018-10-26 19:15:16,30602,-25.4,4.5,-7.0
2018-10-26 19:15:16,30701,-25.4,4.8,-7.6
2018-10-26 19:15:16,30802,-24.2,4.6,-8.2
2018-10-26 19:15:16,30901,-25.1,5.2000003,-8.3
2018-10-26 19:15:16,31001,-25.7,4.7000003,-7.3
2018-10-26 19:15:16,31102,-24.5,4.4,-8.5
2018-10-26 19:15:17,31202,-26.300001,4.5,-8.8
2018-10-26 19:15:17,31301,-25.7,5.0,-9.2
2018-10-26 19:15:17,31402,-24.2,4.6,-8.900001
2018-10-26 19:15:17,31501,-25.2,4.9,-10.7
2018-10-26 19:15:17,31602,-25.1,4.7000003,-7.3
2018-10-26 19:15:17,31701,-25.1,4.9,-8.2
2018-10-26 19:15:17,31802,-25.4,4.8,-8.2
2018-10-26 19:15:17,31901,-25.4,5.0,-6.7000003
2018-10-26 19:15:17,32002,-26.300001,6.2000003,-8.900001
2018-10-26 19:15:17,32101,-24.5,4.7000003,-7.9
2018-10-26 19:15:18,32201,-25.7,5.0,-9.2
2018-10-26 19:15:18,32301,-24.800001,5.5,-7.7000003
2018-10-26 19:15:18,32402,-25.7,5.3,-8.6
2018-10-26 19:15:18,32501,-25.4,5.0,-7.9
2018-10-26 19:15:18,32601,-26.0,5.0,-8.6
2018-10-26 19:15:18,32701,-26.300001,4.8,-8.2
2018-10-26 19:15:18,32802,-24.5,3.7,-9.8
2018-10-26 19:15:18,32902,-26.0,4.0,-8.5
2018-10-26 19:15:18,33001,-25.7,4.2000003,-7.6
2018-10-26 19:15:18,33101,-26.9,4.5,-8.8
2018-10-26 19:15:19,33201,-25.4,5.0,-9.2
2018-10-26 19:15:19,33302,-24.800001,4.0,-7.3
2018-10-26 19:15:19,33401,-25.1,4.2000003,-8.8
2018-10-26 19:15:19,33503,-25.4,4.0,-9.1
2018-10-26 19:15:19,33601,-26.6,4.1,-8.8
2018-10-26 19:15:19,33702,-26.0,4.0,-8.5
2018-10-26 19:15:19,33801,-26.0,3.8,-7.6
2018-10-26 19:15:19,33901,-25.1,3.3,-7.9
2018-10-26 19:15:19,34002,-24.9,3.2,-10.7
2018-10-26 19:15:19,34101,-25.800001,3.4,-10.3
2018-10-26 19:15:20,34201,-26.0,5.2000003,-9.400001
2018-10-26 19:15:20,34301,-24.5,5.2000003,-9.400001
2018-10-26 19:15:20,34402,-25.7,6.2000003,-8.8
2018-10-26 19:15:20,34502,-24.2,7.0,-6.7000003
2018-10-26 19:15:20,34601,-25.1,6.3,-7.3
2018-10-26 19:15:20,34701,-24.800001,5.0,-6.6
2018-10-26 19:15:20,34801,-25.4,5.0,-7.8
2018-10-26 19:15:20,34901,-25.6,4.8,-5.7000003
2018-10-26 19:15:20,35001,-24.5,3.7,-7.8
2018-10-26 19:15:20,35101,-23.9,3.9,-8.2
2018-10-26 19:15:21,35201,-25.4,4.3,-7.9
2018-10-26 19:15:21,35302,-24.800001,3.7,-8.5
2018-10-26 19:15:21,35401,-25.1,4.9,-8.900001
2018-10-26 19:15:21,35502,-24.5,4.9,-9.400001
2018-10-26 19:15:21,35601,-24.800001,4.0,-7.8
2018-10-26 19:15:21,35701,-25.7,4.2000003,-7.5
2018-10-26 19:15:21,35801,-25.7,4.7000003,-9.1
2018-10-26 19:15:21,35902,-26.4,4.5,-10.0
2018-10-26 19:15:21,36001,-25.9,3.8,-9.3
2018-10-26 19:15:21,36102,-25.300001,4.4,-9.1
2018-10-26 19:15:22,36202,-25.300001,3.8,-8.1
2018-10-26 19:15:22,36302,-24.7,4.5,-6.9
2018-10-26 19:15:22,36402,-25.300001,5.7000003,-9.1
2018-10-26 19:15:22,36501,-25.9,5.0,-8.5
2018-10-26 19:15:22,36601,-24.4,4.2000003,-9.400001
2018-10-26 19:15:22,36702,-24.7,4.6,-9.400001
2018-10-26 19:15:22,36802,-24.800001,4.6,-10.6
2018-10-26 19:15:22,36901,-24.800001,5.1,-10.900001
2018-10-26 19:15:22,37002,-25.4,5.5,-10.0
2018-10-26 19:15:22,37101,-26.300001,5.3,-10.3
2018-10-26 19:15:23,37201,-25.1,5.6,-10.0
